Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID,Wards,Community Areas,Zip Codes,Census Tracts,Historical Wards 2003-2015
2021,251380,Motley School Apartments,Exempt,739 N Ada St,60642,,true,WEST TOWN,K-12 School,57135,2005,1,,,,,,,,,,,,,,41.8954882,-87.66111127,POINT (-87.66111127 41.8954882),2021-251380,46,25,22620,521,41
2021,256826,,Not Submitted,1201 W Lake Street,,0.0,false,,,140646,,,,,,,,,,,,,,,,41.88425,-87.63245,POINT (-87.63245 41.88425),2021-256826,36,38,14310,92,22
2021,103314,Evergreen Tower,Not Submitted,1333  N CLEVELAND AVE,60610,0.0,false,NEAR NORTH SIDE,,86780,,,,,,,,,,,,,,,,41.9037528,-87.63558845,POINT (-87.63558845 41.9037528),2021-103314,46,37,14926,148,41
2021,172547,,Exempt,2222 S MICHIGAN AVE,60616,,true,NEAR SOUTH SIDE,,103900,,,,,,,,,,,,,,,,41.85215031,-87.62464535,POINT (-87.62464535 41.85215031),2021-172547,9,34,21194,193,48
2021,251575,"Delano Elementary, Edward C -CPS",Exempt,3937 W Wilcox St,60624,,true,WEST GARFIELD PARK,K-12 School,99420,1966,1,,,,,,,,,,,,,,41.87837616,-87.72434523,POINT (-87.72434523 41.87837616),2021-251575,23,27,21572,736,11
2021,251660,Lawndale Community Academy -CPS,Exempt,3500 W Douglas Blvd,60623,,true,NORTH LAWNDALE,K-12 School,116650,1960,1,,,,,,,,,,,,,,41.862916,-87.71298,POINT (-87.71298 41.862916),2021-251660,14,30,21569,772,36
2021,255939,XS Tennis and Education Foundation,Not Submitted,5334 S State St,60609,0.0,false,WASHINGTON PARK,,116997,,,,,,,,,,,,,,,,41.8083,-87.66875,POINT (-87.66875 41.8083),2021-255939,3,59,14924,740,53
2021,260116,,Submitted,3812  S MICHIGAN AVE,60653,0.0,false,DOUGLAS,,71987,,,,,0,0,0,0,,,,,,,,41.82021138,-87.61246867,POINT (-87.61246867 41.82021138),2021-260116,10,4,4301,583,1
2021,251780,Holy Name Cathedral Parish,Not Submitted,735 N State St,60654,0.0,false,NEAR NORTH SIDE,Worship Facility,193226,1936,6,,,,,,,,,,,,,,41.89582933,-87.62812742,POINT (-87.62812742 41.89582933),2021-251780,36,37,21182,626,22
2021,254094,,Submitted,3041 S Michigan Ave,60616,0.0,false,Douglas,,67133,,,,,0,0,0,0,,,,,,,,41.8458598,-87.62921,POINT (-87.62921 41.8458598),2021-254094,9,35,21194,3,12
2021,158424,Virgin Hotels Chicago,Not Submitted,203 209 N WABASH AVE,60601,0.0,false,LOOP,,198000,,,,,,,,,,,,,,,,41.88619746,-87.62593056,POINT (-87.62593056 41.88619746),2021-158424,36,38,14309,580,22
2021,251437,Spry Community Elementary -CPS,Exempt,2400 S Marshall Blvd,60623,,true,SOUTH LAWNDALE,K-12 School,106010,1889,1,,,,,,,,,,,,,,41.84763372,-87.69981687,POINT (-87.69981687 41.84763372),2021-251437,1,32,21569,262,29
2021,251405,Hefferan Elementary -CPS,Exempt,4409 W Wilcox St,60624,,true,WEST GARFIELD PARK,K-12 School,60934,1961,1,,,,,,,,,,,,,,41.878708,-87.73579,POINT (-87.73579 41.878708),2021-251405,23,27,21572,716,11
2021,162209,St. Edmund's Episcopal Church,Not Submitted,6105 S Michigan Ave,60637,0.0,false,WASHINGTON PARK,K-12 School,60000,1937,1,,,,,,,,,,,,,,41.78350218,-87.62163947,POINT (-87.62163947 41.78350218),2021-162209,4,7,22260,404,53
2021,251389,"Hendricks C A, Thomas A -CPS",Exempt,4320 S Princeton,60609,,true,FULLER PARK,K-12 School,56857,1968,1,,,,,,,,,,,,,,41.815727,-87.633569,POINT (-87.633569 41.815727),2021-251389,9,3,14924,189,12
2021,174247,,Not Submitted,421  E 62ND ST,60637,0.0,false,WOODLAWN,,218880,,,,,,,,,,,,,,,,41.78046327,-87.6053081,POINT (-87.6053081 41.78046327),2021-174247,4,9,22260,470,53
2021,117367,Merrimac Square II,Not Submitted,6526  W IRVING PARK RD,60634,0.0,false,DUNNING,,165842,,,,,,,,,,,,,,,,41.94530408,-87.80186746,POINT (-87.80186746 41.94530408),2021-117367,19,17,22254,396,39
2021,251914,Mays,Exempt,838 W MARQUETTE RD,60621,,true,ENGLEWOOD,,52819,,,,,,,,,,,,,,,,41.77277724,-87.64642895,POINT (-87.64642895 41.77277724),2021-251914,32,66,21559,436,19
2021,250034,Broadway Armory,Not Submitted,5917 N Broadway Ave,60660,0.0,false,EDGEWATER,Other - Recreation,168700,1916,1,,,,,,,,,,,,,,41.9891405,-87.65967018,POINT (-87.65967018 41.9891405),2021-250034,16,76,4451,13,40
2021,102332,Truman College,Not Submitted,1145 W Wilson Ave,60640,0.0,false,UPTOWN,College/University,954142,1976,3,,,,,,,,,,,,,,41.9645338,-87.65900659,POINT (-87.65900659 41.9645338),2021-102332,39,31,22616,241,37
2021,132388,,Not Submitted,3913 3959 W MADISON ST,60624,0.0,false,WEST GARFIELD PARK,,57100,,,,,,,,,,,,,,,,41.88046952,-87.72470294,POINT (-87.72470294 41.88046952),2021-132388,23,27,21572,736,11
2021,251524,Air Force Academy (Abbott Elementary ) -CPS,Exempt,3630 S Wells St,60609,,true,ARMOUR SQUARE,K-12 School,68306,1949,1,,,,,,,,,,,,,,41.82818263,-87.63325219,POINT (-87.63325219 41.82818263),2021-251524,48,35,14924,296,26
2021,254342,3110 Sheridan Condominiums,Not Submitted,3110 N Sheridan Rd,60657,0.0,false,Lake View,,142000,,,,,,,,,,,,,,,,41.9391704,-87.64565,POINT (-87.64565 41.9391704),2021-254342,25,57,4449,682,38
2021,101503,,Not Submitted,5604 5624 S WABASH AVE,60637,0.0,false,WASHINGTON PARK,,52081,,,,,,,,,,,,,,,,41.78046327,-87.6053081,POINT (-87.6053081 41.78046327),2021-101503,4,9,22260,470,53
2021,114125,,Not Submitted,1430 1440 S MICHIGAN AVE,60605,0.0,false,NEAR SOUTH SIDE,,131640,,,,,,,,,,,,,,,,41.86863212,-87.62730687,POINT (-87.62730687 41.86863212),2021-114125,10,38,14913,368,48
2021,105673,,Submitted,506  W HARRISON ST,60607,0.0,false,NEAR WEST SIDE,,92435,,,,,0,0,0,0,,,,,,,,41.87399385,-87.651678,POINT (-87.651678 41.87399385),2021-105673,48,29,14917,97,8
2021,106046,,Not Submitted,162  E OHIO ST,60611,0.0,false,NEAR NORTH SIDE,,175000,,,,,,,,,,,,,,,,41.89579275,-87.62247957,POINT (-87.62247957 41.89579275),2021-106046,11,37,21182,158,22
2021,112801,,Not Submitted,5740  N SHERIDAN RD,60660,0.0,false,EDGEWATER,,104500,,,,,,,,,,,,,,,,41.99090057,-87.66660744,POINT (-87.66660744 41.99090057),2021-112801,16,76,4451,536,40
2021,116644,,Submitted,60  E 36TH PL,60653,0.0,false,DOUGLAS,,93310,,,,,0,0,0,0,,,,,,,,41.82021138,-87.61246867,POINT (-87.61246867 41.82021138),2021-116644,10,4,4301,583,1
2021,123973,Dream Town,Exempt,4032 W Madison St,60624,,true,WEST GARFIELD PARK,Office,87000,1926,1,,,,,,,,,,,,,,41.88110552,-87.72691131,POINT (-87.72691131 41.88110552),2021-123973,23,27,21572,659,11
